X	Y	THETA
        0.4236349218	        0.2157556927	        0.4712421724
         9.343198815	         4.761342805	        0.4713363609
         18.26300549	         9.306453458	        0.4711347547
         27.18480169	         13.84765705	        0.4703840878
         36.11171847	         18.37878495	        0.4688819866
         45.04399513	         22.89933961	        0.4686089603
          53.9710949	          27.4301029	        0.4711672263
          62.8809282	         31.99471169	        0.4760483675
          71.7639478	         36.61126438	        0.4828445676
         80.61143564	         41.29553102	        0.4912290013
         89.41616281	         46.05966509	        0.5009414842
         98.17193535	         50.91317021	         0.511422657
         106.8755315	         55.85962542	        0.5222359212
         115.5246794	         60.90067947	        0.5331659126
         124.1183382	         66.03575696	        0.5440469328
         132.6558906	         71.26358798	        0.5547999049
         141.1372367	         76.58212328	        0.5653650648
         149.5624057	         81.98921195	        0.5757542043
          157.931407	         87.48283809	         0.585974055
         166.2450248	         93.05993026	        0.5956632424
         174.5064726	         98.71402628	        0.6045571221
          182.719246	         104.4386017	          0.61282225
         190.8858985	         110.2287889	        0.6205818478
         199.0080856	         116.0811878	        0.6282019277
         207.0850808	         121.9957994	        0.6359362265
         215.1181506	         127.9699432	        0.6426722263
         223.1161765	         133.9909363	        0.6476254187
         231.0894158	         140.0447241	        0.6509188313
         239.0474579	          146.118481	        0.6526461662
         246.9976631	         152.2024936	        0.6537590529
         254.9409667	         158.2955141	        0.6549273395
         262.8732098	         164.4029219	        0.6578478663
         270.7786719	         170.5449384	        0.6636230218
         278.6516341	         176.7285741	        0.6669625606
         286.5225779	         182.9147809	        0.6637432349
         294.5590561	         188.8810808	           0.5964523
          303.235374	          193.851107	        0.4269076367
          312.769779	         196.8018125	        0.1567498048
         322.7220171	         196.6055792	       -0.2115373876
          331.907552	         192.7597821	        -0.567852085
         339.4623154	         186.2393159	       -0.8428027707
         345.2670291	         178.1047562	        -1.049032443
         349.5642263	         169.0726738	        -1.194503606
         352.7242736	         159.5783467	        -1.299895087
         355.0027188	         149.8326369	         -1.37802026
         356.5843869	         139.9492987	        -1.446304077
         357.4848114	         129.9808206	        -1.515181167
         357.7069323	         119.9740611	        -1.581209284
         357.2927794	         109.9731486	        -1.642324244
         356.2977931	         100.0129382	        -1.697241605
         354.7919013	         90.11677533	        -1.745262244
         352.8353992	         80.29960646	        -1.789409463
         350.4578363	         70.57574805	        -1.831463873
         347.6774565	         60.95930531	        -1.873132094
         344.4960697	         51.46800257	        -1.915487643
         340.8944466	         42.12830777	        -1.963665338
         336.8074257	         32.99101266	        -2.020683472
         332.1474463	         24.13311056	        -2.092526244
         326.7873377	         15.68192471	        -2.182501655
         320.6235664	         7.799397199	        -2.288968587
         313.6023798	        0.6720124989	        -2.410897866
         305.7327386	        -5.504151325	        -2.542574118
         297.1041488	         -10.5646633	        -2.680852094
         287.8501012	        -14.36087508	        -2.824558731
         278.1425618	        -16.76935138	        -2.972873472
          268.185998	        -17.72476982	        -3.117673069
         258.1929745	        -17.27288898	        -3.254216275
         248.3331567	        -15.56947419	        -3.365394325
         238.6741446	        -12.94743755	        -3.442039695
         229.1764404	        -9.784455213	        -3.476368651
         219.7142324	        -6.515493259	        -3.464507634
         210.1514802	        -3.557108218	        -3.412576147
         200.4064833	        -1.278930132	        -3.324087453
         190.4827318	     0.0005093048719	        -3.212936261
         180.4788069	       0.09349950484	        -3.086620701
         170.5445515	        -1.089569209	        -2.960921146
         160.8259303	        -3.467550187	        -2.843814527
         151.4322414	          -6.9151624	        -2.737965154
         142.4268689	        -11.27996491	        -2.644542978
         133.8450286	         -16.4288941	        -2.558703139
         125.7206552	        -22.27365784	        -2.478083527
         118.0760576	        -28.73382137	        -2.402745819
         110.9205562	        -35.73230783	        -2.332679671
         104.2563793	        -43.20045943	        -2.266621372
         98.08617334	        -51.08187791	        -2.203962465
         92.40809969	         -59.3251142	        -2.144510572
         87.21637097	        -67.88317836	        -2.088263496
         82.49071479	        -76.70745784	        -2.037830345
         78.18402022	        -85.74391868	        -1.994431894
         74.24004049	         -94.9447397	         -1.95831945
         70.59623017	        -104.2687267	        -1.929596422
         67.18807316	        -113.6815648	        -1.907930615
         63.95187669	        -123.1550113	        -1.893161312
         60.82412701	        -132.6648801	        -1.885016982
         57.74295744	        -142.1899705	        -1.883345178
         54.64991328	        -151.7112059	        -1.887337823
         51.49367823	          -161.21165	        -1.896624985
         48.22545616	        -170.6741022	        -1.910897347
         44.79975552	        -180.0806163	        -1.929974432
         41.17695788	        -189.4129252	        -1.952736488
         37.32776015	        -198.6540825	        -1.978919949
         33.20337229	        -207.7754984	         -2.01380381
         28.71381243	        -216.7223948	        -2.060579484
          23.6839855	        -225.3749709	        -2.141360597
         17.79705215	        -233.4641583	        -2.266785596
         10.70397109	        -240.5048327	        -2.467795906
          2.12950564	        -245.6042048	        -2.755664311
        -7.592078179	        -247.7910007	         -3.08991078
        -17.46790987	        -246.5263202	         -3.44985879
        -26.35627035	        -242.0083131	        -3.760782519
        -33.71816343	        -235.2577731	        -3.994504662
        -39.56419689	        -227.1474438	        -4.173445873
        -44.08308513	        -218.2225969	        -4.306601325
        -47.56158444	        -208.8394146	        -4.402481171
        -50.29038799	        -199.2091318	         -4.46470723
        -52.55094074	        -189.4572055	        -4.500566295
        -54.57576974	         -179.653142	        -4.513592012
        -56.52756898	        -169.8342174	        -4.518241626
        -58.44835706	        -160.0091714	        -4.520005864
        -60.35743651	        -150.1818427	        -4.521036386
        -62.25620318	        -140.3525162	         -4.52202722
        -64.15196594	        -130.5226098	        -4.521336173
        -66.06575209	           -120.6962	        -4.518319245
        -68.02391658	        -110.8785499	        -4.512142487
        -70.05939025	        -101.0766586	        -4.502755156
        -72.18641369	        -91.29421811	        -4.494197718
        -74.38599553	        -81.52782197	        -4.487973125
        -76.62988073	        -71.77149571	        -4.485357044
        -78.87980542	        -62.01655819	        -4.486503419
        -81.11827007	        -52.25898388	        -4.486873249
         -83.3637086	        -42.50301302	        -4.485728148
        -85.57749832	        -32.73985457	        -4.495647669
        -87.61744283	         -22.9391494	        -4.522650712
        -89.20144467	        -13.05632246	        -4.592956144
        -89.82790727	         -3.07113554	        -4.714588093
        -89.02835565	          6.89697353	        -4.876338224
        -86.46061482	         16.55631436	        -5.072895514
         -81.9847117	         25.49076173	        -5.281504118
        -75.73942489	         33.29087657	        -5.492866501
        -68.05232367	         39.68096417	        -5.681270388
        -59.37707529	         44.65640706	        -5.838163799
        -50.09211232	           48.383268	        -5.958434158
        -40.47499834	         51.15370035	        -6.041013329
         -30.6933088	         53.27906237	        -6.092633257
        -20.83838381	         55.03885912	        -6.116012016
        -10.96169348	         56.67343267	        -6.119425825
        -1.093771381	         58.35970274	        -6.106063422
         8.741651916	         60.22558003	        -6.084375962
         18.52819945	         62.33229477	        -6.057235544
         28.25166638	         64.71314672	        -6.028875341
         37.90375103	         67.36862152	        -6.000569657
          47.4773733	         70.29441253	        -5.972701849
         56.96668565	         73.48310054	        -5.945498584
         66.36885883	         76.92036891	        -5.920290055
         75.68583703	         80.58241232	        -5.897537611
         84.92342567	         84.44049589	        -5.878185324
         94.09202898	         88.45990265	         -5.86244779
         103.2028577	         92.60869086	        -5.849792726
          112.266688	         96.85923957	        -5.839994676
         121.2930911	         101.1887342	        -5.832204957
         130.2893874	         105.5804684	        -5.826146633
         139.2618335	         110.0207386	        -5.821323902
         148.2154265	         114.4989135	        -5.817940292
         157.1636333	         118.9878504	        -5.819452026
         166.1312972	         123.4377458	        -5.826321927
         175.1326867	         127.8190096	        -5.834041427
         184.1591931	         132.1482807	        -5.827437471
         192.8356624	         137.1200685	        -5.666490766
         199.9350149	         144.1034254	        -5.309334441
         202.9451575	         153.4831192	         -4.68921622
         198.8064858	         162.2658829	        -3.853483589
         189.6705748	         165.9809314	        -3.256596568
          179.709864	         165.4525602	        -2.955150698
         170.1188541	         162.6332177	        -2.770715808
         161.0128888	         158.4838565	         -2.66900231
         152.2270832	          153.686704	        -2.623136361
          143.543571	         148.7049962	        -2.623772516
         134.8058646	         143.8192258	        -2.641735534
         125.9541643	         139.1436377	        -2.670980286
         116.9551381	          134.758648	        -2.706218834
         107.7974487	         130.7158251	        -2.745966118
         98.48371895	         127.0468305	        -2.786761347
         89.02755869	         123.7623237	        -2.827663021
         79.44747833	          120.858809	        -2.866573428
         69.76461275	         118.3187423	        -2.903120802
         59.99799296	         116.1222899	        -2.937229082
         50.16435197	         114.2482339	        -2.968964817
           40.277677	         112.6775003	         -2.99880355
         30.34964506	         111.3935305	        -3.026903812
         20.39009465	         110.3824293	        -3.053734423
         10.40742714	         109.6328597	        -3.079333552
        0.4091699418	         109.1318934	        -3.103475896
        -9.598079967	         108.8638962	         -3.12550221
        -19.60873727	         108.7898151	        -3.141840043
         -29.6195894	         108.8456575	        -3.150575044
        -39.63035991	         108.9168505	        -3.144099257
         -49.6408802	         108.8401531	        -3.120668669
        -59.64274317	         108.4304096	        -3.077212026
        -69.60752221	         107.4865081	        -3.014455745
        -79.48208285	         105.8535692	        -2.939012829
        -89.19134462	         103.4267685	          -2.8532521
         -98.6508505	         100.1598067	        -2.764552492
        -107.7804529	         96.06056847	        -2.674739425
        -116.5114877	         91.16907773	        -2.587649615
        -124.7938494	         85.55077928	        -2.504260494
        -132.5975049	         79.28390189	        -2.426735215
        -139.9143282	         72.45433604	        -2.355823624
        -146.7608593	         65.15270299	        -2.293787176
        -153.1776721	          57.4701003	        -2.241263549
        -159.2263759	         49.49389624	         -2.19985968
        -164.9863691	         41.30635276	        -2.169728003
        -170.5428012	         32.97905199	        -2.150491149
        -175.9832732	         24.57538542	        -2.141801095
        -181.3894002	         16.14954652	        -2.142183063
         -186.835306	         7.749402043	        -2.150963449
        -192.3809903	       -0.5851357307	        -2.165820698
        -198.0730957	        -8.820271093	         -2.18611307
        -203.9472614	        -16.92645976	        -2.210244129
        -210.0292204	        -24.87783948	        -2.237682507
        -216.3344685	        -32.65329445	        -2.266897386
        -222.8697179	        -40.23641345	        -2.297412918
        -229.6337189	         -47.6162168	        -2.327925183
        -236.6188953	        -54.78703747	        -2.358112589
        -243.8139414	        -61.74729605	        -2.387257539
        -251.2046619	        -68.49946353	        -2.415038089
        -258.7724858	        -75.05260443	        -2.440390497
         -266.495786	        -81.42185117	        -2.463096524
         -274.352444	        -87.62593646	        -2.482767049
         -282.320386	        -93.68651146	        -2.499415608
        -290.3799267	         -99.6247916	        -2.513316721
        -298.5134008	        -105.4614454	        -2.524554191
        -306.7048972	        -111.2164191	        -2.533352092
         -314.939969	        -116.9088899	        -2.539837614
        -323.2064026	        -122.5557369	        -2.544449502
        -331.4937939	        -128.1717905	        -2.547341621
        -339.7937172	        -133.7693108	        -2.548955795
        -348.0999163	        -139.3575155	        -2.549959097
        -356.4167079	        -144.9299372	        -2.552967598
        -364.7524642	         -150.473951	        -2.554511605
        -373.0523084	        -156.0714025	        -2.538831461
        -381.1872302	        -161.9042748	        -2.486333447
        -388.6581481	        -168.5511685	        -2.322783098
        -394.4695065	        -176.6630923	        -2.045562834
        -397.3956687	        -186.1780723	        -1.678100663
        -396.3338536	        -196.0549749	        -1.251630191
         -391.464986	         -204.735812	       -0.8784667232
        -383.9566648	        -211.2961664	       -0.5665342576
        -374.8863395	        -215.4638966	       -0.3027234377
        -365.0746296	        -217.3477606	      -0.08265740639
        -355.0793066	        -217.2084266	         0.105380399
        -345.2524145	        -215.3522841	        0.2632910944
        -335.7911693	        -212.1021875	        0.3939938385
        -326.7745609	        -207.7629642	        0.4997145053
        -318.2171488	        -202.5738325	        0.5876408677
        -310.0981344	        -196.7206362	        0.6592137535
         -302.374018	         -190.354251	         0.717245903
        -294.9856531	        -183.6002334	        0.7612733227
        -287.8435358	        -176.5856189	        0.7887059592
        -280.8364591	        -169.4357355	        0.7996581151
        -273.8528738	        -162.2628469	        0.7953567334
        -266.7876271	        -155.1705534	        0.7778307504
        -259.5751071	        -148.2282403	        0.7538048467
        -252.1796078	        -141.4813473	        0.7249797217
        -244.5889007	        -134.9548814	        0.6952291259
        -236.8053958	        -128.6596219	          0.66477005
        -228.8305865	        -122.6085817	         0.633223086
        -220.6667028	        -116.8151831	        0.6013878604
        -212.3289725	        -111.2747809	        0.5720685528
        -203.8410018	        -105.9672494	         0.546689425
        -195.2405589	         -100.843695	        0.5292342987
        -186.5696571	        -95.84016219	        0.5174485613
        -177.8348176	        -90.94917234	        0.5028592308
        -169.0234525	        -86.19747617	        0.4868176856
        -160.1478399	        -81.56676571	        0.4758847714
        -151.2345583	        -77.00890091	        0.4702703488
        -142.3058108	        -72.48138122	        0.4690244945
        -133.3798484	        -67.94837487	        0.4707927857
        -124.4600449	        -63.40325835	        0.4715027955
        -115.5407542	        -58.85713532	        0.4712197785
        -106.6203869	        -54.31312503	        0.4710946452
        -97.69993097	        -49.76928879	        0.4711443726
        -88.77965561	        -45.22509802	        0.4711625714
        -79.85937237	        -40.68092271	        0.4711484852
        -70.93904336	        -36.13683725	        0.4711447753
        -62.01872278	        -31.59273523	         0.471149578
        -53.09841191	        -27.04861416	        0.4711482537
        -44.17808421	        -22.50452613	        0.4711449419
           -35.25777	        -17.96041162	        0.4711550073
        -26.33751781	        -13.41617535	        0.4711638439
        -17.41720351	        -8.872061013	        0.4711252585
        -8.496661285	        -4.328394141	        0.4710947507
        0.4236349218	        0.2157556927	        0.4712421724
